Text,Target
I don't see how your approach has potential to shed light on a question that anyone might have.,N
"It is a bit strange for me that authors have used Python for statistical analysis instead of SPSS or MATLAB as usual. Please, explain",C
The paper could be considered for acceptance given a rewrite of the paper and change in the title and abstract.,C
Reviewer 2: The proposal is also poorly written and unfocused with only brief moments of meritorious thinking.,N
The scientific contribution of this paper - if there is any at all - is at best hopelessly insignificant.,N
But there have been treatments along these exact lines that are uncited: [A fictional novel about a hypothetical war] and [an op-ed in the Washington Post].,N
"So overall we do not recommend a resubmission, but can let you try if you insist",N
"This discussion might be better directed to a different audience, perhaps an undergraduate class",N
"In my opinion, this is a fundamental wrong approach.",N
This paper makes no contribution.,N
"The applicant does not address the broader impacts of the proposal, other than its potential benefit to global human health.",C
My major concern to accept this work-in-progress paper is that these findings are not super interesting to readers in my opinion.,C
"But fundamentally, why did you bother?",N
The proposal is also poorly written and unfocused with only brief moments of meritorious thinking,N
This work is antithetical to the spirit of [XX research] and will impede potentially important developments.,C
Your discipline doesn't exist,N
"However, bad language, weird sentences, half true statements and even nonsense statements continue throughout the draft, I refuse to review more of this draft until these language issues get fixed properly.",C
"Publication of this paper will not advance our knowledge in any shape of form, it will just result in other researchers pointing out how bad this study actually is",N
"I have read this MS twice, which given the grammatical howlers in the Abstract would appear to be more times than it has been read by the authors. Given the lack of proof-reading and my concern over the methods used, I shall not comment beyond the end of the methods section, and shall comment selectively rather than exhaustively (which would indeed be exhausting).",C
I am personally offended that the authors believed that this study had a reasonable chance of being accepted to a serious scientific journal.,N
Did you have a seizure while writing this sentence? Because I feel like I had one while reading it.,N
"While the authors do pick a good problem, that's where the quality of the paper ends for me.",N
I started reading this manuscript with much anticipation but my enthusiasm was short lived.,N
This result would be great if it were true,N
This is a sin of omission!,N
"The result does improve the state-of-the-art, but it is not strong enough for acceptance",N
I would advise the authors to go back to the drawing board and consider exactly what this paper is trying to do and do this well.,N
"Yes measurements were made, but why, besides a teaching exercise, remains obscure.",N
The authors are amateurs,N
"In any aspect that this paper is different from XXX et al., (20XX), it shouldn't be",N
The first sentence is unfortunate,N
This paper is very weak.,N
"When the reader is finished struggling through all the methods and results, he/she is left wondering whether it was worth the time.",N
"There is hardly any paragraph (even in the abstract) that is not messy, disorganized, confusing, that does not contain mistakes (some are quite embarrassing), redundancies, abusive shortcuts or discussions that sound absurd",N
"Frankly, she knows nothing about invasion biology or the Great Lakes and should stick with what she does know.",N
My summary assessment of the paper is as follows:Introduction: PoorBackground: PoorMethods: PoorResults: PoorDiscussion: PoorConclusions: Poor Overall assessment: PoorRecommendation: RejectFurther Comments: Why was this submitted to a journal?,N
The presentation of the paper is difficult to follow for a hard scientist and it sometimes reads as if it were machine generated.,N
"Most part of 'methodology' is useless, most of paragraphs are inrelevant to the main topics.",C
"Sometimes I am diplomatic and sometimes critical, but this time I am resolute. I fail to see the contribution either to physics or social science.",N
"This is a very difficult paper to review, and difficult - even painful - to read",N
"XX is inserted purely for fashion, adds nothing, and reflects the authors' belief/wish that fashionable papers regardless of logic or content have a larger chance of acceptance. Our community needs to combat this sort of unreflexive pseudo-scholarship.",N
Perhaps what I have written is deflating.,N
I am sorry but this paper does not leave me satisfied,N
"I had no idea what this concept was until reading your paper, but your abstract wouldn't have made me want to read it had I not been a reviewer",C
The experimental design is a bit funny,C
"I cannot make out signs of independent thinking, work beyond the state of the art, or anything ground-breaking.",N
This reviewer was a bit concerned about the results section given that it appears that participants in the current study were randomly assigned to one of three experimental conditions,N
claiming 'insights' that rarely amount to very much beyond the bleeding obvious. [..] the problem with jargon is that 'any idiot can pick it up and have a go,N
The results are as weak as a wet noodle,N
The manuscript embarrassingly fails in addressing the declared aims.,N
"There are two possibilities. 1) This paper is part of an experiment to try and determine how badly a research paper can be but still be accepted, or 2) The authors are actual fools and it would be in the editor's best interest to ban them from submitting to the journal in the future.",N
"I am, frankly, underwhelmed by the revisions. Most of the responses sound smooth, but really just written to avoid serious additional work.",N
I do not want to see the paper again.,N
This paper is absolutely ridiculous. It shouldn't be published anywhere and the author should not be encouraged to revise.,N
"Finally, I have substantial criticisms, in addition to the disappointment of seeing hoary old chestnuts",N
"Table 4 seems unnecessary given figure 8. Indeed, figure 8 also seems unnecessary.",C
The English language ranks this manuscript among the top 5 worst manuscripts I have ever reviewed,N
there is no evidence to show this is the first paper to propose the idea,C
The writing is not at school level,N
"An exercise in feature manipulation, of the brainless kind",N
I apologize for this but frankly some parts read like a report of a high-school student on a scientific experiment.,N
