Text,Target,toxicity,severe_toxicity,obscene,threat,insult,identity_attack
I don't see how your approach has potential to shed light on a question that anyone might have.,N,0.0005903033,0.00012775577,0.0001806956,0.00013126478,0.00017896788,0.0001463968
"It is a bit strange for me that authors have used Python for statistical analysis instead of SPSS or MATLAB as usual. Please, explain",C,0.0005786182,0.00012534349,0.00017522852,0.00013358181,0.0001778443,0.00014292066
The paper could be considered for acceptance given a rewrite of the paper and change in the title and abstract.,C,0.0005101631,0.00014054644,0.00019423963,0.00013874643,0.00018442373,0.00015179807
Reviewer 2: The proposal is also poorly written and unfocused with only brief moments of meritorious thinking.,N,0.0006293227,0.00012205873,0.0001749509,0.00012697667,0.00018460564,0.00014510611
The scientific contribution of this paper - if there is any at all - is at best hopelessly insignificant.,N,0.0007439364,0.000113830785,0.00017331245,0.00011779266,0.00018757193,0.00014575134
But there have been treatments along these exact lines that are uncited: [A fictional novel about a hypothetical war] and [an op-ed in the Washington Post].,N,0.0005624552,0.00012646854,0.00018467254,0.00012523023,0.00017741529,0.00014369219
"So overall we do not recommend a resubmission, but can let you try if you insist",N,0.0006043867,0.00012981663,0.00017351187,0.00014497542,0.00018068113,0.00015085468
"This discussion might be better directed to a different audience, perhaps an undergraduate class",N,0.0005679828,0.00012919522,0.00017915569,0.00013420985,0.00018318256,0.00014349721
"In my opinion, this is a fundamental wrong approach.",N,0.0007160242,0.00011640706,0.00017884183,0.000114662,0.00017771768,0.00014287312
This paper makes no contribution.,N,0.0006911837,0.00011576062,0.00018049189,0.00011510261,0.00017933361,0.00013959227
"The applicant does not address the broader impacts of the proposal, other than its potential benefit to global human health.",C,0.0005685483,0.00013436888,0.00018171051,0.00014068521,0.00017857073,0.0001552948
My major concern to accept this work-in-progress paper is that these findings are not super interesting to readers in my opinion.,C,0.00061121536,0.00012308563,0.00017759504,0.00013016493,0.00017662166,0.00014222624
"But fundamentally, why did you bother?",N,0.0010363295,0.00010319861,0.00017466486,0.00010999828,0.0001978604,0.0001440997
The proposal is also poorly written and unfocused with only brief moments of meritorious thinking,N,0.0006891576,0.00011694755,0.00016955685,0.00012862608,0.00018730207,0.00014431986
This work is antithetical to the spirit of [XX research] and will impede potentially important developments.,C,0.0006391963,0.000121596255,0.00017636552,0.00012916172,0.0001758418,0.0001440317
Your discipline doesn't exist,N,0.008150229,8.49E-05,0.0002840274,0.00014743318,0.00040200612,0.00022778448
"However, bad language, weird sentences, half true statements and even nonsense statements continue throughout the draft, I refuse to review more of this draft until these language issues get fixed properly.",C,0.00081782375,0.00010902627,0.00016166738,0.00012286424,0.0001859479,0.00014373618
"Publication of this paper will not advance our knowledge in any shape of form, it will just result in other researchers pointing out how bad this study actually is",N,0.0014274856,9.92E-05,0.00017981013,0.000117239426,0.00019763828,0.00016575927
"I have read this MS twice, which given the grammatical howlers in the Abstract would appear to be more times than it has been read by the authors. Given the lack of proof-reading and my concern over the methods used, I shall not comment beyond the end of the methods section, and shall comment selectively rather than exhaustively (which would indeed be exhausting).",C,0.0005441471,0.0001292413,0.00018613061,0.00012414271,0.0001789643,0.0001441353
I am personally offended that the authors believed that this study had a reasonable chance of being accepted to a serious scientific journal.,N,0.0006201468,0.000124009,0.0001741839,0.00012970205,0.00017767397,0.000148118
Did you have a seizure while writing this sentence? Because I feel like I had one while reading it.,N,0.00065656676,0.00011831172,0.00017268992,0.00012358287,0.0001772915,0.00014066228
"While the authors do pick a good problem, that's where the quality of the paper ends for me.",N,0.00055665575,0.0001299655,0.00018341992,0.00013071457,0.00017650245,0.00014358317
I started reading this manuscript with much anticipation but my enthusiasm was short lived.,N,0.000547945,0.00013706405,0.00019489601,0.00013552143,0.0001828953,0.00014878868
This result would be great if it were true,N,0.00060848927,0.00012516732,0.00018105778,0.00013079785,0.00017529655,0.00014251759
This is a sin of omission!,N,0.044195265,0.00016930596,0.0016908185,0.00030468882,0.0009303582,0.00047185732
